InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
0,9101,,,,,,,Radian,,Radian,radian,Radian,Radian,,,,Radian,Radian,Radian,Radian,,,,,,,
0,9102,,,,,,,Degree,,Degree,degree,Degree,Decimal Degree,,,degree of angle,Degree,Degree,Degree,Decimal Degree,Degree,,,This is the real EPSG entry for degrees.  All the others have to do with how the numbers are formatted.,,,
0,9103,,,,,,,Minute,,Minute,arc-minute,,Decimal Minute,,,,Decimal Minute,Decimal Minute,,Decimal Minute,,,,,,,
0,9104,,,,,,,Second,,Second,arc-second,,Decimal Second,,,,Decimal Second,Decimal Second,,Decimal Second,,,,,,,
0,9105,,,,,,,Grad,,Grad,grad,Grad,Grad,,,0.016 rad,Grad,Grad,Grad,Grad,,,,,,,
0,9106,,,,,,,Grad,,Grad,gon,Gon,Gon,,,,Gon,Gon,Gon,Gon,,,,,,,
0,9107,,,,,,,Degree,,Degree,degree minute second,,,,,,,,,,,,,,,,
0,9108,,,,,,,Degree,,Degree,Degree minute second hemisphere,,,,,,,,,,,,,,,,
0,9109,,,,,,,Degree,,Degree,microradian,,,,,,,,,,,,,,,,
0,9110,,,,,,,Degree,,Degree,sexagesimal DMS,,,,,,,,,,,,,,,,
0,9111,,,,,,,Degree,,Degree,seagesimal DM,,,,,,,,,,,,,,,,
0,9112,,,,,,,,,,centesimal minute,,,,,,,,,,,,This is actually centesimal minutes of grads.,,,,
0,9113,,,,,,,,,,centesimal second,,,,,,,,,,,,This is actually centesimal minutes of grads.,,,,
0,9114,,,,,,,Mil,,Mil,mil_6400,,,,,,,,,,,,,,,,
0,9115,,,,,,,Degree,,Degree,degree minute,,,,,,,,,,,,,,,,
0,9116,,,,,,,Degree,,Degree,degree hemisphere,,,,,,,,,,,,,,,,
0,9117,,,,,,,Degree,,Degree,hemisphere degree,,,,,,,,,,,,,,,,
0,9118,,,,,,,Degree,,Degree,degree minute hemisphere,,,,,,,,,,,,,,,,
0,9119,,,,,,,Degree,,Degree,hemisphere degree minute,,,,,,,,,,,,,,,,
0,9120,,,,,,,Degree,,Degree,hemisphere degree minute second,,,,,,,,,,,,,,,,
0,9121,,,,,,,Degree,,Degree,sexigesimal DMS's,,,,,,,,,,,,,,,,
